threshold,pattern,n_test_laundering_transactions,detected,missed,recall
0.05,Fan-in,123,52,71,0.42276422764227645
0.05,Fan-out,131,85,46,0.648854961832061
0.05,Cycle,99,59,40,0.5959595959595959
0.05,Scatter-Gather,239,123,116,0.5146443514644351
0.05,Gather-Scatter,381,215,166,0.5643044619422573
0.05,Bipartite,66,42,24,0.6363636363636364
0.05,Stack,117,79,38,0.6752136752136753
0.05,Random,84,49,35,0.5833333333333334
0.05,None,371,205,166,0.5525606469002695
0.1,Fan-in,123,8,115,0.06504065040650407
0.1,Fan-out,131,66,65,0.5038167938931297
0.1,Cycle,99,42,57,0.42424242424242425
0.1,Scatter-Gather,239,54,185,0.22594142259414227
0.1,Gather-Scatter,381,127,254,0.3333333333333333
0.1,Bipartite,66,26,40,0.3939393939393939
0.1,Stack,117,61,56,0.5213675213675214
0.1,Random,84,38,46,0.4523809523809524
0.1,None,371,137,234,0.3692722371967655
0.15,Fan-in,123,2,121,0.016260162601626018
0.15,Fan-out,131,56,75,0.42748091603053434
0.15,Cycle,99,29,70,0.29292929292929293
0.15,Scatter-Gather,239,32,207,0.13389121338912133
0.15,Gather-Scatter,381,78,303,0.2047244094488189
0.15,Bipartite,66,20,46,0.30303030303030304
0.15,Stack,117,48,69,0.41025641025641024
0.15,Random,84,33,51,0.39285714285714285
0.15,None,371,77,294,0.20754716981132076
0.2,Fan-in,123,1,122,0.008130081300813009
0.2,Fan-out,131,39,92,0.29770992366412213
0.2,Cycle,99,23,76,0.23232323232323232
0.2,Scatter-Gather,239,19,220,0.0794979079497908
0.2,Gather-Scatter,381,47,334,0.12335958005249344
0.2,Bipartite,66,14,52,0.21212121212121213
0.2,Stack,117,29,88,0.24786324786324787
0.2,Random,84,21,63,0.25
0.2,None,371,34,337,0.09164420485175202
0.25,Fan-in,123,0,123,0.0
0.25,Fan-out,131,20,111,0.15267175572519084
0.25,Cycle,99,9,90,0.09090909090909091
0.25,Scatter-Gather,239,6,233,0.02510460251046025
0.25,Gather-Scatter,381,27,354,0.07086614173228346
0.25,Bipartite,66,7,59,0.10606060606060606
0.25,Stack,117,12,105,0.10256410256410256
0.25,Random,84,9,75,0.10714285714285714
0.25,None,371,9,362,0.02425876010781671
0.3,Fan-in,123,0,123,0.0
0.3,Fan-out,131,2,129,0.015267175572519083
0.3,Cycle,99,1,98,0.010101010101010102
0.3,Scatter-Gather,239,0,239,0.0
0.3,Gather-Scatter,381,7,374,0.01837270341207349
0.3,Bipartite,66,2,64,0.030303030303030304
0.3,Stack,117,3,114,0.02564102564102564
0.3,Random,84,2,82,0.023809523809523808
0.3,None,371,0,371,0.0
0.35,Fan-in,123,0,123,0.0
0.35,Fan-out,131,0,131,0.0
0.35,Cycle,99,0,99,0.0
0.35,Scatter-Gather,239,0,239,0.0
0.35,Gather-Scatter,381,0,381,0.0
0.35,Bipartite,66,0,66,0.0
0.35,Stack,117,0,117,0.0
0.35,Random,84,0,84,0.0
0.35,None,371,0,371,0.0
0.4,Fan-in,123,0,123,0.0
0.4,Fan-out,131,0,131,0.0
0.4,Cycle,99,0,99,0.0
0.4,Scatter-Gather,239,0,239,0.0
0.4,Gather-Scatter,381,0,381,0.0
0.4,Bipartite,66,0,66,0.0
0.4,Stack,117,0,117,0.0
0.4,Random,84,0,84,0.0
0.4,None,371,0,371,0.0
0.45,Fan-in,123,0,123,0.0
0.45,Fan-out,131,0,131,0.0
0.45,Cycle,99,0,99,0.0
0.45,Scatter-Gather,239,0,239,0.0
0.45,Gather-Scatter,381,0,381,0.0
0.45,Bipartite,66,0,66,0.0
0.45,Stack,117,0,117,0.0
0.45,Random,84,0,84,0.0
0.45,None,371,0,371,0.0
0.5,Fan-in,123,0,123,0.0
0.5,Fan-out,131,0,131,0.0
0.5,Cycle,99,0,99,0.0
0.5,Scatter-Gather,239,0,239,0.0
0.5,Gather-Scatter,381,0,381,0.0
0.5,Bipartite,66,0,66,0.0
0.5,Stack,117,0,117,0.0
0.5,Random,84,0,84,0.0
0.5,None,371,0,371,0.0
0.55,Fan-in,123,0,123,0.0
0.55,Fan-out,131,0,131,0.0
0.55,Cycle,99,0,99,0.0
0.55,Scatter-Gather,239,0,239,0.0
0.55,Gather-Scatter,381,0,381,0.0
0.55,Bipartite,66,0,66,0.0
0.55,Stack,117,0,117,0.0
0.55,Random,84,0,84,0.0
0.55,None,371,0,371,0.0
0.6,Fan-in,123,0,123,0.0
0.6,Fan-out,131,0,131,0.0
0.6,Cycle,99,0,99,0.0
0.6,Scatter-Gather,239,0,239,0.0
0.6,Gather-Scatter,381,0,381,0.0
0.6,Bipartite,66,0,66,0.0
0.6,Stack,117,0,117,0.0
0.6,Random,84,0,84,0.0
0.6,None,371,0,371,0.0
0.65,Fan-in,123,0,123,0.0
0.65,Fan-out,131,0,131,0.0
0.65,Cycle,99,0,99,0.0
0.65,Scatter-Gather,239,0,239,0.0
0.65,Gather-Scatter,381,0,381,0.0
0.65,Bipartite,66,0,66,0.0
0.65,Stack,117,0,117,0.0
0.65,Random,84,0,84,0.0
0.65,None,371,0,371,0.0
0.7,Fan-in,123,0,123,0.0
0.7,Fan-out,131,0,131,0.0
0.7,Cycle,99,0,99,0.0
0.7,Scatter-Gather,239,0,239,0.0
0.7,Gather-Scatter,381,0,381,0.0
0.7,Bipartite,66,0,66,0.0
0.7,Stack,117,0,117,0.0
0.7,Random,84,0,84,0.0
0.7,None,371,0,371,0.0
0.75,Fan-in,123,0,123,0.0
0.75,Fan-out,131,0,131,0.0
0.75,Cycle,99,0,99,0.0
0.75,Scatter-Gather,239,0,239,0.0
0.75,Gather-Scatter,381,0,381,0.0
0.75,Bipartite,66,0,66,0.0
0.75,Stack,117,0,117,0.0
0.75,Random,84,0,84,0.0
0.75,None,371,0,371,0.0
0.8,Fan-in,123,0,123,0.0
0.8,Fan-out,131,0,131,0.0
0.8,Cycle,99,0,99,0.0
0.8,Scatter-Gather,239,0,239,0.0
0.8,Gather-Scatter,381,0,381,0.0
0.8,Bipartite,66,0,66,0.0
0.8,Stack,117,0,117,0.0
0.8,Random,84,0,84,0.0
0.8,None,371,0,371,0.0
0.85,Fan-in,123,0,123,0.0
0.85,Fan-out,131,0,131,0.0
0.85,Cycle,99,0,99,0.0
0.85,Scatter-Gather,239,0,239,0.0
