threshold,pattern,n_test_laundering_transactions,detected,missed,recall
0.05,Fan-in,123,117,6,0.9512195121951219
0.05,Fan-out,131,127,4,0.9694656488549618
0.05,Cycle,99,80,19,0.8080808080808081
0.05,Scatter-Gather,239,225,14,0.9414225941422594
0.05,Gather-Scatter,381,375,6,0.984251968503937
0.05,Bipartite,66,50,16,0.7575757575757576
0.05,None,371,269,102,0.7250673854447439
0.1,Fan-in,123,107,16,0.8699186991869918
0.1,Fan-out,131,126,5,0.9618320610687023
0.1,Cycle,99,75,24,0.7575757575757576
0.1,Scatter-Gather,239,216,23,0.9037656903765691
0.1,Gather-Scatter,381,354,27,0.9291338582677166
0.1,Bipartite,66,40,26,0.6060606060606061
0.1,None,371,209,162,0.5633423180592992
0.15,Fan-in,123,100,23,0.8130081300813008
0.15,Fan-out,131,122,9,0.9312977099236641
0.15,Cycle,99,69,30,0.696969696969697
0.15,Scatter-Gather,239,208,31,0.8702928870292888
0.15,Gather-Scatter,381,330,51,0.8661417322834646
0.15,Bipartite,66,35,31,0.5303030303030303
0.15,None,371,149,222,0.40161725067385445
0.2,Fan-in,123,82,41,0.6666666666666666
0.2,Fan-out,131,117,14,0.8931297709923665
0.2,Cycle,99,67,32,0.6767676767676768
0.2,Scatter-Gather,239,193,46,0.8075313807531381
0.2,Gather-Scatter,381,299,82,0.7847769028871391
0.2,Bipartite,66,32,34,0.48484848484848486
0.2,None,371,110,261,0.29649595687331537
0.25,Fan-in,123,67,56,0.5447154471544715
0.25,Fan-out,131,112,19,0.8549618320610687
0.25,Cycle,99,61,38,0.6161616161616161
0.25,Scatter-Gather,239,159,80,0.6652719665271967
0.25,Gather-Scatter,381,260,121,0.6824146981627297
0.25,Bipartite,66,26,40,0.3939393939393939
0.25,None,371,78,293,0.21024258760107817
0.3,Fan-in,123,49,74,0.3983739837398374
0.3,Fan-out,131,102,29,0.7786259541984732
0.3,Cycle,99,49,50,0.494949494949495
0.3,Scatter-Gather,239,123,116,0.5146443514644351
0.3,Gather-Scatter,381,227,154,0.5958005249343832
0.3,Bipartite,66,23,43,0.3484848484848485
0.3,None,371,56,315,0.1509433962264151
0.35,Fan-in,123,33,90,0.2682926829268293
0.35,Fan-out,131,98,33,0.7480916030534351
0.35,Cycle,99,38,61,0.3838383838383838
0.35,Scatter-Gather,239,98,141,0.4100418410041841
0.35,Gather-Scatter,381,205,176,0.5380577427821522
0.35,Bipartite,66,19,47,0.2878787878787879
0.35,None,371,48,323,0.1293800539083558
0.4,Fan-in,123,15,108,0.12195121951219512
0.4,Fan-out,131,91,40,0.6946564885496184
0.4,Cycle,99,26,73,0.26262626262626265
0.4,Scatter-Gather,239,79,160,0.3305439330543933
0.4,Gather-Scatter,381,194,187,0.5091863517060368
0.4,Bipartite,66,11,55,0.16666666666666666
0.4,None,371,38,333,0.10242587601078167
0.45,Fan-in,123,9,114,0.07317073170731707
0.45,Fan-out,131,75,56,0.5725190839694656
0.45,Cycle,99,16,83,0.16161616161616163
0.45,Scatter-Gather,239,67,172,0.2803347280334728
0.45,Gather-Scatter,381,173,208,0.4540682414698163
0.45,Bipartite,66,8,58,0.12121212121212122
0.45,None,371,27,344,0.07277628032345014
0.5,Fan-in,123,5,118,0.04065040650406504
0.5,Fan-out,131,73,58,0.5572519083969466
0.5,Cycle,99,11,88,0.1111111111111111
0.5,Scatter-Gather,239,57,182,0.2384937238493724
0.5,Gather-Scatter,381,166,215,0.4356955380577428
0.5,Bipartite,66,6,60,0.09090909090909091
0.5,None,371,24,347,0.0646900269541779
0.55,Fan-in,123,2,121,0.016260162601626018
0.55,Fan-out,131,70,61,0.5343511450381679
0.55,Cycle,99,8,91,0.08080808080808081
0.55,Scatter-Gather,239,48,191,0.200836820083682
0.55,Gather-Scatter,381,158,223,0.4146981627296588
0.55,Bipartite,66,6,60,0.09090909090909091
0.55,None,371,16,355,0.0431266846361186
0.6,Fan-in,123,1,122,0.008130081300813009
0.6,Fan-out,131,65,66,0.4961832061068702
0.6,Cycle,99,6,93,0.06060606060606061
0.6,Scatter-Gather,239,42,197,0.17573221757322174
0.6,Gather-Scatter,381,144,237,0.3779527559055118
0.6,Bipartite,66,6,60,0.09090909090909091
0.6,None,371,9,362,0.02425876010781671
0.65,Fan-in,123,1,122,0.008130081300813009
0.65,Fan-out,131,57,74,0.4351145038167939
0.65,Cycle,99,2,97,0.020202020202020204
0.65,Scatter-Gather,239,34,205,0.14225941422594143
0.65,Gather-Scatter,381,134,247,0.35170603674540685
0.65,Bipartite,66,4,62,0.06060606060606061
0.65,None,371,6,365,0.016172506738544475
0.7,Fan-in,123,0,123,0.0
0.7,Fan-out,131,50,81,0.3816793893129771
0.7,Cycle,99,0,99,0.0
0.7,Scatter-Gather,239,25,214,0.10460251046025104
